State,Program Name,Program type,Statewide or region-specific?,Federal operating authority,Program start date ,Waiver expiration date (if applicable),"If the program ended in 2014, indicate the end date",Populations enrolled,Low-income Adults not eligible under ACA Section VIII,"Aged, Blind or Disabled Children or Adults",Non-Disabled Children (excluding children in foster care or receiving adoption assistance),Individuals receiving Limited Benefits,Low-income adults eligible under ACA Section VIII,Full Duals,Partial Duals,Children with Special Health Care Needs,Native American/Alaskan Natives,Foster Care and Adoption Assistance Children,Enrollment choice period,Enrollment broker name (if applicable),Notes on enrollment choice period,Benefits covered,Inpatient hospital physical health,Inpatient hospital behavioral health (MH and/or SUD),Outpatient hospital physical health,Outpatient hospital behavioral health (MH and/or SUD),Partial hospitalization,Physician,Nurse practitioner,Rural health clinics and FQHCs,Clinic services,Lab and x-ray,Prescription drugs and prosthetic devices,EPSDT,Case management,Health home (SSA 1945),Family planning,Dental services (medical/surgical),Dental (preventative or corrective),Home health agency services,Personal care (state plan option),HCBS waiver services,Private duty nursing,ICF-IDD,Nursing facility services,Hospice care,Non-Emergency Medical Transportation,"Other (e.g., nurse midwife services, freestanding birth centers, podiatry, etc.)",Quality assurance and improvement,HEDIS data required?,CAHPS data required?,Accreditation required?,Accrediting organization,EQRO contractor name (if applicable),Performance incentives?,Payment bonuses/differentials to reward plans,Preferential auto-enrollment to reward plans,Public reports comparing MCO performance on key metrics,Withholds tied to performance metrics,MCOs/PHPs required/encouraged to pay providers for value/quality outcomes using shared-risk or shared-savings methods,Provider Value-Based Purchasing,State pays provider-based entities (such as ACOs or PCMHs) directly for value/quality outcomes using shared-risk or shared-savings methods,Participating plans and regions served,Plans in Program,Notes,Program notes,Year,Location
Texas,STAR Kids,Comprehensive MCO,Statewide,"1115(a) (Medicaid demonstration waivers),1915(b)/1915(c)",11/01/2016,12/31/2017,,,,Mandatory,,,,,Mandatory,,Mandatory,,,,Mandatory,,X,X,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,X,,,No,No,No,,Institute for Child Health Policy,,,,,,,,,,"Aetna; Amerigroup Texas, Inc.; Blue Cross Blue Shield; Children's Medical Center; Community First Health Plan; Cook Children's Health Plan; Driscoll Children's Health Plan; Superior Health Plan; Texas Children's Health Plan; United Healthcare Texas",,1115 and 1915(c) waivers are applied to this program. The 1915(b)/ 1915(c) combination is the closest definition to this population.,2016,"Texas
(31.447238, -99.317341)"
Puerto Rico,Medicare Platino,Comprehensive MCO,Statewide,1915(b),01/01/2006,,,,,,,,,Mandatory,,,,,,Mandatory,,,X,X,X,X,X,X,,X,X,X,X,,X,,X,X,X,,,,,,,,,,,Yes,Yes,No,,Island Peer Review Organization (IPRO),,,,,,X,,,,"Triple S; Humana Health Plan of PR Inc.; MCS Advantage Inc.; MMM Health Care Inc.; Preferred Medicare Choice Inc.; Constellation Health, LLC.",,,2016,"Puerto Rico
(18.215692, -66.414655)"
California,Dental Managed Care/Sacramento,Dental only (PAHP),Sacramento,1115(a) (Medicaid demonstration waivers),12/01/1998,12/31/2020,,,Mandatory,,Mandatory,,,Mandatory,,Mandatory,,Mandatory,,Mandatory,,,,,,,,,,X,,,,X,X,,,X,X,,,,,,,,,,,Yes,Yes,No,,,,X,,X,X,,,,,Access Dental Plan/Sacramento; Liberty Dental Plan/Sacramento; Health Net Dental/Sacramento,,,2016,"California
(37.211164, -119.662127)"
District of Columbia,Health Services for Children with Special Needs,Comprehensive MCO,Statewide,1915(a),01/01/1996,,,,,,,,,Voluntary,,,,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,Freestanding birth centers,,Yes,Yes,No,,,,,,,,,,,,Health Services for Children with Special Needs,,,2016,"District of Columbia
(38.904785, -77.016275)"
Wisconsin,SSI Managed Care,Comprehensive MCO,Statewide,1932(a),04/01/2005,,,,,Mandatory,,,,Voluntary,,,Mandatory,,,Voluntary,,,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,,X,,X,,X,X,,Nurse midwife services; podiatry and chiropractic; dental varies by geographic region,,Yes,No,No,,"MetaStar, Inc.",,X,,X,X,,,,,Anthem Blue Cross Blue Shield; Care Wisconsin; Compcare; Group Health Cooperative Of Eau Claire; Independent Care (iCare); MHS of Wisconsin; Molina Health Plan; Network Health Plan; Trilogy Health Insurance; UnitedHealthcare Community Plan,,,2016,"Wisconsin
(44.639954, -89.732969)"
Washington,PACE (MLTSS),Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,01/01/1997,,,,,Voluntary,,,,Voluntary,,,Voluntary,,,Voluntary,,,X,,X,X,X,X,X,X,X,X,X,,X,X,,X,X,,X,X,,,X,,X,Comfort Care and Podiatry,,No,No,No,,,,,,,,,,,,Providence Elder Place,,"The State Level MLTSS enrollment data is restricted to users of those services, not total enrollees in programs that cover LTSS, and does not include services received under a PACE Program. Enrollees enrolled in PACE are not included but benefits covered under this program are listed.",2016,"Washington
(47.411715, -120.592492)"
Alabama,Patient 1st,Primary Care Case Management (PCCM),Statewide,"1932(a),1945 Health Homes",10/01/2004,,,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,Patient 1st; Health Homes,,"To be eligible for the Health Home, a recipient must be enrolled in Patient 1st and their assigned PMP also be enrolled with the Health Home. The enrollment is duplicated since an enrollee can be in both Health Home and Patient 1st. In August, 2011, Alabama added an enhanced PCCM program to its Patient 1st program, called the Patient Care Network of Alabama (PCNA), in which primary medical providers (PMPs) in four geographic regions are given the option to contract with a primary care network (PCN) and serve as medical homes for high-risk individuals. Alabama's PCNs support PMPs by providing intensive case management, reviewing service utilization data, monitoring capacity and referrals, facilitating quality improvement and the use of evidence-based care, and conducting education and outreach. In 2012, Alabama was approved for a 1945 Health Home SPA, serving recipients with two chronic conditions, or one chronic condition and the risk of developing another, or a mental health condition. In 2015, Alabama was approved for an additional 1945 Health Home SPA to expand the Health Homes statewide and changed the program’s name from PCNA to Health Home.",2016,"Alabama
(32.756889, -86.844516)"
Montana,Passport to Health,Primary Care Case Management (PCCM),Statewide,1915(b),01/01/1994,03/31/2019,,,Mandatory,Mandatory,Mandatory,,,,,Mandatory,Mandatory,Mandatory,,,,,X,,X,,,X,X,X,X,X,,X,X,,X,X,,,,,,,,,,Transplants and urgent care services,,No,No,No,,,,,,,,,,,,Multiple Primary Care Providers,,"Montana has four programs that operate under the authority of the 1915(b) waiver.  The Passport to Health program is the Primary Care Case Management (PCCM) program. Benefits covered include those that are covered by both the monthly PMPM and FFS benefits that could be delivered by a primary provider participating in the Passport to Health Program. The Team Care program is a sub-program of Passport which began in 2004. The Health Improvement program, the EPCCM program, began in 2009 as an enhancement to Passport. The Nurse First program is the nurse advice line that began in 2004.",2016,"Montana
(47.033521, -109.645127)"
Arkansas,Safety Net,Primary Care Case Management (PCCM),Statewide,1932(a),01/01/2014,.,.,.,Mandatory,Mandatory,Mandatory,.,Mandatory,.,.,.,Exempt,Exempt,N/A,.,N/A,.,.,.,.,.,.,X,X,.,.,.,.,.,X,.,.,.,.,.,.,.,.,.,.,.,.,.,.,No,No,No,Consumer Satisfaction Survey,.,.,.,.,.,.,.,.,X,.,Multiple primary care providers,.,.,2014,"Arkansas
(34.899825, -92.439162)"
North Carolina,1915(b)/(c) Medicaid Waiver for MH/DD/SA Services,Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),01/01/2012,07/01/2018,,,,Mandatory,Mandatory,,,Mandatory,,,Mandatory,Mandatory,,Mandatory,,,,X,,X,,,,,,,,,,,,,,,,X,,X,,,,Outpatient Behavioral Health Services including services provided by psychiatrists for recipients with a diagnosis in the 290-319 range; Psychiatric Residential Treatment Facilities; Therapeutic Foster Care; Residential Child Care; Hopsital Emergeny Dept,,Yes,Yes,Yes,"NCQA, URAC",Carolinas Center for Medical Excellence (CCME),,,,X,,,,,,Alliance Behavioral Healthcare; Cardinal Innovations Healthcare Solutions; Eastpointe Human Services; Partners Behavioral Health Management; Sandhills Center for MH/DD/SA; Trillium Health Resources; Vaya Health,,,2016,"North Carolina
(35.52603, -79.130883)"
Oklahoma,SoonerRide,Non-Emergency Medical Transportation,Statewide,1902(a)(70) NEMT,06/01/2006,,,,,Mandatory,,,,Mandatory,,,Mandatory,,,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,No,No,No,,,,,,,,,,,,SoonerRide,,,2016,"Oklahoma
(35.583449, -97.508297)"
Kansas,KanCare,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/2013,12/31/2017,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,,X,X,,,X,X,X,,,Yes,Yes,Yes,NCQA,Kansas Foundation for Medical Care,,,,X,X,,,,,"Amerigroup Kansas, Inc.; Sunflower State Health Plan; United HealthCare Community Plan of Kansas",,,2016,"Kansas
(38.484729, -98.38018)"
Massachusetts,Money Follows the Person - Behavioral Supports (MFP-BH),Behavioral Health Organization (BHO) only (PIHP and/or PAHP),Statewide,1915(b)/1915(c),04/01/2013,03/31/2018,,,Mandatory,Mandatory,,Mandatory,,Mandatory,,Mandatory,Mandatory,,Mandatory,Mandatory,,,,X,,X,X,,,,X,,,,X,,,,,,,,,,,,,"Emergency Services Program and Diversionary Services, Community Crisis Stabilization, Acute Treatment Services (ATS) for Substance Use Disorders (Level III-7), Clinical Support Services (CSS) for Substance Use Disorders (Level III-5) and Tranistional Care Unit (TCU), Community Support Program (CSP), Partial Hospitalization, Partial Psychiatric Day Treatement, Structure Outpatient Addiction Program (SOAP), Program of Assertive Community Treatment and Intensive Outpatient Treatment",,Yes,No,Yes,NCQA,,,,,,,,,,,Money Follows the Person - Behavioral Supports (BFP-BH),,"MassHealth members enrolled in the two 1915(c) MFP waiver who are not otherwise eligibile for the 1115 demonistrationare mandatorily enrolled in this 1915(b) waiver. The 1915(c) MFP waivers included both the Community Living (MFP-CL, waiver control number MA.1027) and the MFP Residential Supports (MFP-RS, waiver control number MA.1028) waiver. The MFP-BH waiver (MFP-BH, waiver control number Ma.0002) runs concurrently with these 1915(c) Waivers. The 1915(b) waiver provides managed behavioral health benefits for participants enrolled in the MFP-CL and MFP-RS 1915(c) waivers. All other 1915(c) waiver HCBS are provided on a fee-for-service basis. MFP waiver participants must be age 16-64 with disabilities or age 65 or over and must be on MassHealth Standard.",2016,"Massachusetts
(42.151077, -71.481104)"
North Dakota,Health Management Program,Other Prepaid Health Plan (PHP) (limited benefits),Statewide,1932(a),08/01/2007,,,,,Voluntary,Voluntary,Voluntary,,,,,Voluntary,Voluntary,Voluntary,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,Health Management,,,2016,"North Dakota
(47.446305, -100.46931)"
Colorado,Accountable Care Collaborative: Access KP,Comprehensive MCO,"Adams, Arapahoe, Douglas Counties",1932(a),07/01/2016,,,,Voluntary,Voluntary,Voluntary,,,,Voluntary,Voluntary,Voluntary,Voluntary,,,Voluntary,,,,,,,X,X,,X,X,,X,,,X,,,,,,,,,,,,,Yes,Yes,No,,"Health Services Advisory Group, Inc.",,X,,X,X,X,,,,Colorado Access Kaiser Permanente,,"ACC: Access KP is a new payment reform initiative within Colorado’s Accountable Care Collaborative (ACC). The initiative is a limited benefit, capitated primary care model designed to pilot an alternative to the current fee for service payment mechanism. The initiative is a partnership between the State of Colorado Department of Health Care Policy and Financing (HCPF), Colorado Access, and Kaiser Permanente.  Initially the Department did a passive enrollment into the program; however, for continuing enrollment, clients have to actively select the program.",2016,"Colorado
(38.998552, -105.547832)"
California,Health Plan of San Mateo CCS Demo/San Mateo,Comprehensive MCO,San Mateo County,1115(a) (Medicaid demonstration waivers),01/06/2012,10/31/2015,.,.,.,.,.,.,.,.,.,Mandatory,Exempt,Voluntary,Pre-assigned,.,.,.,X,.,X,.,.,X,X,X,X,X,X,X,X,.,X,.,.,X,.,.,.,.,.,X,X,"Pediatric specialties and subspecialties, pediatric surgical specialties",.,Yes,No,No,.,.,.,.,.,.,.,.,.,.,.,Health Plan of San Mateo CCS Demo/San Mateo,.,.,2014,"California
(37.211164, -119.662127)"
Utah,Choice of Health Care Delivery,Comprehensive MCO,Statewide,1915(b),03/23/1982,12/31/2017,,,,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,X,,X,,X,X,X,X,X,X,X,,X,X,X,,,,,,X,,,X,,"Vision, podiatry, dialysis, DME, inpatient medical detox, nurse midwife services, free standing birth centers, ambulatory surgical center.",,Yes,Yes,No,,Health Services Advisory Group,,,,,,,,,,Healthy U; Molina; Molina Plus; Health Choice; SelectHealth,,,2016,"Utah
(39.323779, -111.678222)"
New Hampshire,New Hampshire Health Protection Program Medicaid Care Management ABP,Comprehensive MCO,Statewide,"1932(a),1937 Alt Benefit Plan",09/01/2014,,,,Mandatory,,,,,,,Mandatory,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,X,X,"Nurse midwife, non-nurse midwife, freestanding birth centers, podiatry, PT/OT/ST, ambulance, adult medical day care, DME, eyeglasses, chiropractic, full substance use disorder treatment",,Yes,Yes,Yes,NCQA,HSAG,,,,,,,,,,New Hampshire Healthy Families; Well Sense,,,2016,"New Hampshire
(43.680429, -71.57139)"
Hawaii,QUEST Integration,Comprehensive MCO,Statewide,1115(a) (Medicaid demonstration waivers),09/01/1994,12/31/2018,,,Mandatory,Mandatory,Mandatory,Mandatory,,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,Yes,Yes,Yes,NCQA,Health Services Advisory Group (HSAG),,X,,X,X,X,,,,AlohaCare QUEST; Hawaii Medical Service Association (HMSA) QUEST; Kaiser Permanente QUEST; Ohana Health Plan QUEST; UnitedHealthcare Community Plan QUEST; AlohaCare ABD; HMSA ABD; Kaiser ABD; Ohana ABD; UnitedHealth ABD; Ohana Community Care Service (BHS),,Ohana Community Care Service  members can also enroll in other medical or dental plans reported under the QUEST Integration program.,2016,"Hawaii
(21.361013, -157.854309)"
Washington,PCCM,Primary Care Case Management (PCCM),Statewide,1932(a),07/01/1995,,,,Voluntary,Voluntary,,,,,,Voluntary,Voluntary,,,,,,X,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,X,,X,X,,,,No,No,No,,,,,,,,,,,,Multiple Primary Care Providers,,"Indian Health Services administers this program for Yakima, Spokane and Confederated Tribes of the Colville Reservation.  There are two FQHC's - Seattle Indian Health Board and Native Project.  The tribal clinics are as follows:  Lower Elwha Klallam, Lummi Nation, Nooksack Tribe, Tulalip Nation, Confederated Tribes of the Colville Reservation (non-HIS managed facility), Puyallup Tribe, Quileute Tribe. Quinault Indian Nation, Port Gamble S'Klallam Tribe.  PCCM's are located in the following counties: Clallam, Grays Harbor, King, Snohomish, Whatcom, Okanogan, Ferry, Stevens, Lincoln, Spokane, Benton and Yakima.",2016,"Washington
(47.411715, -120.592492)"
Michigan,PACE,Program of All-inclusive Care for the Elderly (PACE),Statewide,PACE,11/01/2003,,,,,Voluntary,,,,Voluntary,Voluntary,,Voluntary,,,Voluntary,Voluntary,,X,X,X,X,,X,,,,X,X,,X,X,,X,X,,X,X,,,X,,X,Transportation,,No,No,No,,,,,,,,,,,,Care Resources; CentraCare; Genesys PACE; Great Lakes PACE; Huron Valley PACE; Life Circles; PACE of Southeast MI; PACE of Southwest MI; Senior Community Care; Thome PACE,,,2016,"Michigan
(44.874798, -85.730977)"
Nevada,Mandatory Health Maintenance Program,Comprehensive MCO,Statewide,1932(a),10/31/1988,,,,Mandatory,,Mandatory,,,,,Mandatory,,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,,X,,,,Yes,Yes,"No, but accreditation considered in plan selection criteria",NCQA,Health Services Advisory Group,,,,,,,,,,Health Plan of Nevada (HPN); Amerigroup Community Care (AGP),,,2016,"Nevada
(39.283294, -114.916992)"
New York,Medicaid Advantage Plus,Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),01/01/2007,03/31/2021,,,,,,,,Voluntary,,,,,,Voluntary,,,X,X,X,X,,X,X,,X,X,X,,X,X,,X,X,,X,X,X,,X,,X,Podiatry,,No,No,No,,Island Peer Review Organization,,,,,,,,,,Elderplan; Guildnet; Healthfirst; Healthplus Advantage Plus; HIP of Greater New York; NYS Catholic Health Plan/Fidelis; Senior Whole Health; VNS Choice Plus,,,2016,"New York
(42.921241, -75.59655)"
Louisiana,Dental,Dental only (PAHP),Statewide,1915(b),07/01/2014,06/30/2021,,,Mandatory,Mandatory,Mandatory,,,Mandatory,,Mandatory,Mandatory,Mandatory,,Mandatory,,,,,,,,,,X,X,X,,X,,,,X,X,,,,,,,,,,,Yes,Yes,No,,,,,,,X,,,,,MCNA,,All eligible enrollees are mandatorily enrolled.,2016,"Louisiana
(30.921314, -91.840238)"
Minnesota,Prepaid Medical Assistance Plan Plus (PMAP+),Comprehensive MCO + MLTSS,Statewide,1115(a) (Medicaid demonstration waivers),07/01/1985,12/31/2020,,,Mandatory,,Mandatory,,,,,Mandatory,,Mandatory,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,,,X,,X,"Rehabilitation, therapeutic, chemical dependency, mental health",,Yes,Yes,No,,Michigan Peer Review Organization,,,X,,X,,,,,Blue Plus; Health Partners; Hennepin Health; Itasca Medical Care; Medica; PrimeWest Health; South Country Health; Ucare,,,2016,"Minnesota
(46.349153, -94.198308)"
